user_id,product_id,view,rating,rate_quantity,sold_quantity,cart,wishlist,category,category_encoded,target_cart
146,187,2,4.49,119,1014,1,0,serum,1,1
905,285,3,4.74,88,763,0,1,serum,1,0
2610,41,2,4.31,542,1888,1,0,serum,1,1
1573,452,2,4.49,270,798,0,1,moisturizer,2,0
2788,342,1,4.21,228,675,0,0,moisturizer,2,0
770,613,2,4.29,186,897,0,1,moisturizer,2,0
2130,482,1,4.34,254,1251,0,0,cleaner,0,0
3270,349,2,4.29,96,763,1,1,serum,1,1
3728,358,2,4.19,253,899,0,0,moisturizer,2,0
332,134,6,4.18,59,491,0,0,serum,1,0
240,275,12,3.66,258,1717,0,0,moisturizer,2,0
3837,459,4,4.26,110,974,0,0,moisturizer,2,0
2300,681,1,4.23,493,4358,1,1,cleaner,0,1
2366,99,3,4.22,561,1842,0,0,cleaner,0,0
3702,136,4,4.19,731,2676,0,0,cleaner,0,0
84,327,2,4.46,370,1209,0,0,moisturizer,2,0
1084,244,4,4.49,1344,4551,0,0,serum,1,0
3146,467,2,4.38,142,737,0,0,serum,1,0
2818,183,3,4.09,203,1052,0,0,serum,1,0
3793,639,1,4.48,783,2533,1,1,moisturizer,2,1
2656,344,3,4.17,225,716,0,0,serum,1,0
2404,661,1,4.12,246,790,0,0,cleaner,0,0
67,561,1,4.17,561,1843,1,2,cleaner,0,1
275,305,3,4.03,351,1421,0,0,moisturizer,2,0
1750,369,1,4.55,323,2088,0,0,serum,1,0
921,689,5,4.13,229,2489,0,0,moisturizer,2,0
3728,281,1,3.97,264,793,0,0,cleaner,0,0
3346,80,2,3.9,266,1003,0,1,moisturizer,2,0
3200,577,2,4.32,535,2761,0,0,moisturizer,2,0
1110,172,1,4.38,652,1966,0,0,serum,1,0
2016,384,2,4.47,226,2371,1,0,serum,1,1
3054,143,2,4.28,270,1107,0,0,moisturizer,2,0
1405,574,3,4.41,85,750,1,1,moisturizer,2,1
2091,145,5,4.31,436,1929,0,0,serum,1,0
3782,498,3,4.44,143,1535,0,0,serum,1,0
3081,271,2,4.34,132,1491,1,1,cleaner,0,1
1529,447,1,3.5,263,766,0,0,unknown,3,0
1335,348,3,3.91,246,1494,0,0,cleaner,0,0
2309,615,4,4.11,198,769,0,0,cleaner,0,0
1113,461,2,4.55,164,1288,1,0,serum,1,1
2677,412,4,4.22,244,1569,0,1,moisturizer,2,0
3209,597,1,4.22,212,1415,0,0,moisturizer,2,0
3479,153,4,4.19,555,1798,0,0,cleaner,0,0
1770,515,6,4.57,199,1210,0,0,serum,1,0
3014,57,2,4.25,124,1467,0,0,serum,1,0
100,244,1,4.49,1344,4551,0,0,serum,1,0
681,596,2,4.26,200,891,0,0,cleaner,0,0
3589,679,1,4.19,98,574,0,0,cleaner,0,0
2278,667,1,4.4,266,1145,0,0,moisturizer,2,0
628,444,6,4.36,333,1440,1,1,cleaner,0,1
2738,270,2,3.91,71,419,0,0,cleaner,0,0
1463,511,2,4.32,227,1086,0,0,cleaner,0,0
1262,237,7,4.13,172,887,0,0,serum,1,0
2525,405,4,4.43,483,1465,0,0,unknown,3,0
2047,158,2,4.37,204,1454,0,0,moisturizer,2,0
1424,254,3,3.76,87,347,1,1,cleaner,0,1
2230,65,3,4.56,114,424,0,0,serum,1,0
2136,107,4,3.99,383,2450,0,0,serum,1,0
3265,261,2,4.44,100,1123,0,0,cleaner,0,0
759,40,1,4.18,135,761,0,1,moisturizer,2,0
2002,215,6,4.51,253,1771,0,0,moisturizer,2,0
2071,676,1,4.42,160,1149,0,0,serum,1,0
281,135,4,4.13,142,944,0,1,serum,1,0
2388,41,4,4.31,542,1888,1,0,serum,1,1
169,236,1,4.44,161,1010,0,0,moisturizer,2,0
564,17,4,4.28,139,744,0,0,serum,1,0
3461,39,1,4.36,942,3224,0,0,cleaner,0,0
1442,236,5,4.44,161,1010,0,0,moisturizer,2,0
868,206,1,4.04,59,372,0,0,cleaner,0,0
3646,497,3,4.29,252,1254,1,1,serum,1,1
